,location,total_sqft,bath,balcony,price,bhk
70,5th Phase JP Nagar,1200.0,2.0,1.0,68.0,2
71,5th Phase JP Nagar,1190.0,2.0,2.0,61.8,2
72,5th Phase JP Nagar,4000.0,5.0,2.0,170.0,5
73,5th Phase JP Nagar,1080.0,2.0,1.0,53.0,2
74,5th Phase JP Nagar,1041.0,2.0,2.0,54.0,2
75,5th Phase JP Nagar,812.0,2.0,1.0,42.0,2
76,5th Phase JP Nagar,1010.0,2.0,2.0,57.0,2
77,5th Phase JP Nagar,1450.0,2.0,2.0,73.0,3
78,5th Phase JP Nagar,2500.0,8.0,3.0,95.0,7
79,5th Phase JP Nagar,1075.0,2.0,2.0,60.0,2
80,6th Phase JP Nagar,1192.0,2.0,2.0,74.0,2
81,6th Phase JP Nagar,1180.0,2.0,3.0,80.0,2
82,6th Phase JP Nagar,3245.0,4.0,2.0,250.0,4
83,6th Phase JP Nagar,1645.0,3.0,3.0,100.0,3
84,6th Phase JP Nagar,1140.0,2.0,2.0,65.0,2
85,6th Phase JP Nagar,2040.0,3.0,2.0,200.0,3
86,6th Phase JP Nagar,1213.0,2.0,1.0,63.0,2
87,6th Phase JP Nagar,1216.0,2.0,2.0,60.0,2
88,6th Phase JP Nagar,1460.0,2.0,2.0,80.0,2
89,6th Phase JP Nagar,2003.0,3.0,3.0,200.0,3
90,6th Phase JP Nagar,1810.0,3.0,3.0,131.0,3
91,6th Phase JP Nagar,1515.0,2.0,2.0,135.0,3
92,6th Phase JP Nagar,1192.0,2.0,3.0,75.0,2
93,6th Phase JP Nagar,1280.0,2.0,1.0,88.0,2
94,7th Phase JP Nagar,1080.0,2.0,2.0,72.0,2
95,7th Phase JP Nagar,1270.0,2.0,2.0,93.0,2
96,7th Phase JP Nagar,1420.0,2.0,1.0,100.0,3
97,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
98,7th Phase JP Nagar,1245.0,2.0,1.0,94.0,2
99,7th Phase JP Nagar,1175.0,2.0,1.0,82.0,2
100,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
101,7th Phase JP Nagar,2225.0,3.0,1.0,160.0,3
102,7th Phase JP Nagar,1050.0,2.0,1.0,71.0,2
103,7th Phase JP Nagar,1100.0,2.0,0.0,46.0,2
104,7th Phase JP Nagar,918.0,2.0,1.0,50.49,2
105,7th Phase JP Nagar,1450.0,2.0,1.0,100.0,3
106,7th Phase JP Nagar,1190.0,2.0,1.0,49.98,2
107,7th Phase JP Nagar,1420.0,2.0,2.0,96.0,3
108,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
109,7th Phase JP Nagar,980.0,2.0,2.0,69.0,2
110,7th Phase JP Nagar,1180.0,2.0,2.0,72.0,2
111,7th Phase JP Nagar,1050.0,2.0,1.0,57.0,3
112,7th Phase JP Nagar,1343.0,2.0,2.0,56.41,3
113,7th Phase JP Nagar,1405.0,2.0,2.0,59.01,3
114,7th Phase JP Nagar,1400.0,3.0,1.0,115.0,3
115,7th Phase JP Nagar,1270.0,2.0,1.0,83.0,2
116,7th Phase JP Nagar,3300.0,4.0,0.0,150.0,4
117,7th Phase JP Nagar,2503.0,4.0,0.0,188.0,4
118,7th Phase JP Nagar,2200.0,3.0,2.0,190.0,3
119,7th Phase JP Nagar,1250.0,3.0,2.0,65.0,3
120,7th Phase JP Nagar,1385.0,2.0,2.0,58.17,3
121,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
122,7th Phase JP Nagar,1850.0,3.0,2.0,140.0,3
123,7th Phase JP Nagar,1575.0,2.0,2.0,120.0,3
124,7th Phase JP Nagar,1850.0,3.0,2.0,150.0,3
125,7th Phase JP Nagar,1680.0,3.0,2.0,120.0,3
126,7th Phase JP Nagar,1175.0,2.0,2.0,82.5,2
127,7th Phase JP Nagar,3300.0,4.0,3.0,160.0,3
128,7th Phase JP Nagar,2200.0,4.0,2.0,105.0,3
129,7th Phase JP Nagar,1215.0,2.0,2.0,90.0,2
130,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
131,7th Phase JP Nagar,1300.0,3.0,2.0,89.13,3
132,7th Phase JP Nagar,1130.0,2.0,2.0,73.0,2
133,7th Phase JP Nagar,1450.0,3.0,2.0,100.0,3
134,7th Phase JP Nagar,1350.0,3.0,2.0,58.0,3
135,7th Phase JP Nagar,1050.0,2.0,1.0,50.0,2
136,7th Phase JP Nagar,1275.0,2.0,1.0,87.0,2
137,7th Phase JP Nagar,1460.0,3.0,1.0,70.0,3
138,7th Phase JP Nagar,1650.0,3.0,2.0,110.0,3
139,7th Phase JP Nagar,850.0,2.0,2.0,42.0,2
140,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
141,7th Phase JP Nagar,1850.0,3.0,1.0,150.0,3
142,7th Phase JP Nagar,1236.0,2.0,2.0,61.33,2
143,7th Phase JP Nagar,1000.0,2.0,2.0,53.0,2
144,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
145,7th Phase JP Nagar,1675.0,2.0,2.0,135.0,3
146,7th Phase JP Nagar,1187.0,2.0,1.0,59.0,2
147,7th Phase JP Nagar,1850.0,3.0,2.0,155.0,3
148,7th Phase JP Nagar,1000.0,2.0,1.0,61.0,2
149,7th Phase JP Nagar,1460.0,2.0,2.0,100.0,3
150,7th Phase JP Nagar,1650.0,3.0,3.0,110.0,3
151,7th Phase JP Nagar,1200.0,2.0,2.0,62.5,2
152,7th Phase JP Nagar,1000.0,2.0,1.0,70.65,2
153,7th Phase JP Nagar,1080.0,2.0,2.0,75.0,2
154,7th Phase JP Nagar,1415.0,3.0,1.0,65.0,3
155,7th Phase JP Nagar,1680.0,3.0,3.0,125.0,3
156,7th Phase JP Nagar,1460.0,2.0,1.0,97.0,3
157,7th Phase JP Nagar,1120.0,2.0,2.0,65.0,2
158,7th Phase JP Nagar,1100.0,3.0,1.0,60.0,2
159,7th Phase JP Nagar,1790.0,3.0,3.0,120.0,3
160,7th Phase JP Nagar,1680.0,3.0,2.0,117.0,3
161,7th Phase JP Nagar,1050.0,2.0,1.0,77.0,2
162,7th Phase JP Nagar,1050.0,2.0,1.0,75.0,2
163,7th Phase JP Nagar,1040.0,2.0,1.0,75.0,2
164,7th Phase JP Nagar,1400.0,2.0,1.0,95.0,3
165,7th Phase JP Nagar,1800.0,3.0,2.0,130.0,3
166,7th Phase JP Nagar,1050.0,2.0,0.0,68.0,2
167,7th Phase JP Nagar,1000.0,2.0,2.0,60.0,2
168,7th Phase JP Nagar,1680.0,3.0,2.0,125.0,3
169,7th Phase JP Nagar,1050.0,2.0,1.0,77.47,2
170,7th Phase JP Nagar,1270.0,2.0,1.0,80.0,2
171,7th Phase JP Nagar,1463.0,2.0,1.0,61.45,3
172,7th Phase JP Nagar,1680.0,3.0,2.0,122.0,3
173,7th Phase JP Nagar,1130.0,2.0,2.0,85.0,2
174,7th Phase JP Nagar,1680.0,3.0,3.0,130.0,3
175,7th Phase JP Nagar,980.0,2.0,1.0,77.44,2
176,7th Phase JP Nagar,1680.0,3.0,2.0,112.0,3
177,7th Phase JP Nagar,1515.0,2.0,1.0,76.0,3
178,7th Phase JP Nagar,2095.0,3.0,2.0,150.0,3
179,7th Phase JP Nagar,1976.0,3.0,1.0,145.0,3
180,7th Phase JP Nagar,1600.0,2.0,2.0,110.0,3
181,7th Phase JP Nagar,1765.0,3.0,2.0,118.0,3
182,7th Phase JP Nagar,1275.0,2.0,2.0,88.0,3
183,7th Phase JP Nagar,1450.0,2.0,1.0,102.0,3
184,7th Phase JP Nagar,1575.0,2.0,2.0,110.0,3
185,7th Phase JP Nagar,1075.0,2.0,1.0,57.0,3
186,7th Phase JP Nagar,750.0,1.0,2.0,47.0,1
187,7th Phase JP Nagar,990.0,2.0,2.0,50.0,2
188,7th Phase JP Nagar,1000.0,1.0,1.0,60.0,1
189,7th Phase JP Nagar,1680.0,2.0,3.0,92.0,3
190,7th Phase JP Nagar,1430.0,2.0,1.0,102.0,3
191,7th Phase JP Nagar,1128.0,2.0,1.0,60.0,2
192,7th Phase JP Nagar,1140.0,2.0,1.0,57.0,2
193,7th Phase JP Nagar,1420.0,3.0,2.0,90.0,3
194,7th Phase JP Nagar,1530.0,2.0,1.0,108.0,2
195,8th Phase JP Nagar,1073.5,2.0,0.0,54.005,2
196,8th Phase JP Nagar,451.0,1.0,0.0,29.9,1
197,8th Phase JP Nagar,1240.0,3.0,2.0,43.5,3
198,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
199,8th Phase JP Nagar,1230.0,2.0,2.0,43.5,3
200,8th Phase JP Nagar,1455.0,3.0,2.0,73.31,3
201,8th Phase JP Nagar,871.0,2.0,2.0,55.0,2
202,8th Phase JP Nagar,1098.0,2.0,1.0,43.91,2
203,8th Phase JP Nagar,1800.0,3.0,1.0,80.0,3
204,8th Phase JP Nagar,2700.0,4.0,2.0,130.0,4
205,8th Phase JP Nagar,1080.0,2.0,2.0,38.0,2
206,8th Phase JP Nagar,1059.0,2.0,2.0,34.5,2
207,8th Phase JP Nagar,1080.0,2.0,2.0,35.0,2
208,8th Phase JP Nagar,1275.0,2.0,2.0,41.5,3
209,8th Phase JP Nagar,1062.0,2.0,1.0,42.47,2
210,8th Phase JP Nagar,500.0,1.0,1.0,31.0,1
211,8th Phase JP Nagar,1100.0,2.0,2.0,35.0,2
212,8th Phase JP Nagar,2100.0,4.0,3.0,92.0,4
213,8th Phase JP Nagar,1035.0,2.0,1.0,39.33,2
214,8th Phase JP Nagar,909.0,2.0,1.0,40.9,2
215,8th Phase JP Nagar,1431.5,3.0,0.0,72.02,3
216,8th Phase JP Nagar,1900.0,4.0,1.0,90.0,3
217,8th Phase JP Nagar,500.0,1.0,1.0,30.0,1
218,8th Phase JP Nagar,1125.0,2.0,2.0,36.94,2
219,8th Phase JP Nagar,1100.0,2.0,3.0,35.0,2
220,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
221,8th Phase JP Nagar,1605.0,2.0,2.0,65.0,3
222,8th Phase JP Nagar,1504.0,2.0,2.0,83.0,3
223,8th Phase JP Nagar,2600.0,4.0,2.0,115.0,4
224,8th Phase JP Nagar,1368.0,2.0,1.0,54.71,3
225,8th Phase JP Nagar,1089.0,2.0,1.0,43.55,2
226,8th Phase JP Nagar,1224.0,2.0,2.0,48.95,3
227,8th Phase JP Nagar,1513.0,2.0,3.0,62.0,2
228,8th Phase JP Nagar,1298.0,2.0,1.0,59.0,2
229,8th Phase JP Nagar,1006.0,2.0,0.0,44.0,2
230,8th Phase JP Nagar,500.0,1.0,1.0,33.0,1
231,8th Phase JP Nagar,1160.0,2.0,1.0,95.0,2
232,8th Phase JP Nagar,1245.0,2.0,1.0,59.0,2
233,8th Phase JP Nagar,1510.0,2.0,3.0,80.0,2
234,8th Phase JP Nagar,3300.0,3.0,2.0,165.0,3
235,8th Phase JP Nagar,1730.0,5.0,2.0,75.0,5
236,8th Phase JP Nagar,1296.0,2.0,2.0,51.83,3
237,8th Phase JP Nagar,1275.0,3.0,2.0,45.0,3
238,8th Phase JP Nagar,1046.0,2.0,1.0,48.0,2
239,8th Phase JP Nagar,1269.0,2.0,3.0,50.75,3
240,8th Phase JP Nagar,1408.0,3.0,2.0,80.0,3
241,8th Phase JP Nagar,1500.0,2.0,3.0,55.0,3
242,9th Phase JP Nagar,1005.0,2.0,1.0,50.0,2
243,9th Phase JP Nagar,1890.0,2.0,2.0,85.0,3
244,9th Phase JP Nagar,1100.0,2.0,1.0,65.0,2
245,9th Phase JP Nagar,1080.0,2.0,2.0,37.0,2
246,9th Phase JP Nagar,1035.0,2.0,1.0,45.0,2
247,9th Phase JP Nagar,5000.0,4.0,3.0,290.0,4
248,9th Phase JP Nagar,1164.0,2.0,1.0,56.0,2
249,9th Phase JP Nagar,1005.0,2.0,1.0,42.0,2
250,9th Phase JP Nagar,1127.0,2.0,1.0,50.0,2
251,9th Phase JP Nagar,1005.0,2.0,1.0,43.0,2
252,9th Phase JP Nagar,835.0,2.0,0.0,37.0,2
253,9th Phase JP Nagar,1050.0,2.0,2.0,39.0,2
254,9th Phase JP Nagar,660.0,2.0,0.0,27.0,2
255,9th Phase JP Nagar,600.0,1.0,0.0,20.0,1
256,9th Phase JP Nagar,1466.0,2.0,2.0,71.0,2
257,9th Phase JP Nagar,1890.0,2.0,2.0,93.0,3
258,9th Phase JP Nagar,1079.0,2.0,1.0,60.0,2
259,9th Phase JP Nagar,1480.0,2.0,1.0,80.0,2
260,9th Phase JP Nagar,1200.0,2.0,0.0,80.0,2
261,9th Phase JP Nagar,905.0,2.0,1.0,32.0,2
262,9th Phase JP Nagar,1073.0,2.0,1.0,52.36,2
263,9th Phase JP Nagar,1719.3,2.0,2.0,88.0,3
264,9th Phase JP Nagar,1780.0,3.0,2.0,88.0,3
265,9th Phase JP Nagar,1300.0,2.0,2.0,58.0,3
266,9th Phase JP Nagar,1522.0,3.0,2.0,90.0,3
267,9th Phase JP Nagar,1571.0,3.0,2.0,65.0,3
268,9th Phase JP Nagar,1900.0,4.0,2.0,80.0,4
269,9th Phase JP Nagar,890.0,2.0,2.0,45.0,2
270,9th Phase JP Nagar,1240.0,2.0,2.0,39.89,3
271,9th Phase JP Nagar,5000.0,4.0,2.0,300.0,4
272,9th Phase JP Nagar,1240.0,2.0,2.0,42.85,3
273,9th Phase JP Nagar,1050.0,2.0,2.0,35.0,2
274,9th Phase JP Nagar,1331.95,2.0,2.0,69.0,2
275,AECS Layout,1100.0,2.0,3.0,45.0,2
276,AECS Layout,1028.0,2.0,1.0,42.0,2
277,AECS Layout,1199.0,2.0,2.0,65.0,2
278,AECS Layout,1080.0,2.0,2.0,55.0,2
279,AECS Layout,1123.0,2.0,2.0,64.0,2
280,AECS Layout,1308.0,2.0,1.0,60.0,2
281,AECS Layout,1005.0,2.0,1.0,55.0,2
282,AECS Layout,2000.0,3.0,1.0,90.0,3
283,Abbigere,985.0,2.0,1.0,40.39,2
284,Abbigere,2200.0,6.0,2.0,68.0,6
285,Abbigere,765.0,2.0,2.0,30.0,1
286,Abbigere,880.0,2.0,1.0,35.0,2
287,Abbigere,795.0,2.0,1.0,32.54,2
288,Abbigere,1005.0,2.0,1.0,39.59,2
289,Abbigere,734.0,1.0,0.0,19.82,1
290,Abbigere,1260.0,2.0,1.0,45.0,3
291,Abbigere,1020.0,2.0,1.0,41.82,2
292,Abbigere,985.0,2.0,1.0,40.39,2
293,Abbigere,2500.0,6.0,0.0,81.0,6
294,Abbigere,795.0,2.0,1.0,32.54,2
295,Abbigere,1130.0,2.0,1.0,46.33,2
296,Abbigere,795.0,1.0,1.0,32.6,2
297,Abbigere,3000.0,8.0,0.0,150.0,8
298,Abbigere,985.0,2.0,1.0,38.92,2
299,Abbigere,1000.0,2.0,1.0,41.0,2
300,Abbigere,995.0,2.0,1.0,40.8,2
301,Abbigere,1020.0,2.0,1.0,40.8,2
302,Akshaya Nagar,1388.0,2.0,3.0,57.0,2
303,Akshaya Nagar,1070.0,2.0,1.0,54.0,2
304,Akshaya Nagar,1280.0,2.0,2.0,58.0,2
305,Akshaya Nagar,1662.0,3.0,3.0,85.1,3
306,Akshaya Nagar,1897.0,3.0,2.0,120.0,3
307,Akshaya Nagar,1410.0,2.0,2.0,75.0,3
308,Akshaya Nagar,1360.0,2.0,2.0,85.0,3
309,Akshaya Nagar,1600.0,2.0,2.0,65.0,3
310,Akshaya Nagar,1410.0,2.0,2.0,80.0,3
311,Akshaya Nagar,1662.0,3.0,2.0,85.0,3
312,Akshaya Nagar,1080.0,4.0,1.0,75.0,4
313,Akshaya Nagar,1662.0,3.0,2.0,85.5,3
314,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
315,Akshaya Nagar,1666.0,3.0,2.0,95.0,3
316,Akshaya Nagar,1575.0,3.0,2.0,90.0,3
317,Akshaya Nagar,1430.0,2.0,2.0,75.0,3
318,Akshaya Nagar,1419.0,2.0,3.0,73.0,3
319,Akshaya Nagar,1280.0,2.0,1.0,60.0,2
320,Akshaya Nagar,1200.0,2.0,1.0,50.0,2
321,Akshaya Nagar,1092.0,2.0,1.0,60.0,2
322,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
323,Akshaya Nagar,1700.0,3.0,1.0,80.0,3
324,Akshaya Nagar,1897.0,4.0,2.0,93.0,3
325,Akshaya Nagar,1884.0,3.0,3.0,98.0,3
326,Akshaya Nagar,1314.0,2.0,2.0,68.8,2
327,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
328,Akshaya Nagar,1265.0,2.0,3.0,67.0,2
329,Akshaya Nagar,1126.0,2.0,1.0,55.0,2
330,Akshaya Nagar,2300.0,4.0,3.0,102.0,3
331,Akshaya Nagar,1662.0,3.0,2.0,90.0,3
332,Akshaya Nagar,1420.0,2.0,2.0,75.0,3
333,Akshaya Nagar,1412.0,2.0,3.0,88.0,3
334,Akshaya Nagar,1434.0,3.0,3.0,84.0,3
335,Akshaya Nagar,1890.0,4.0,2.0,100.0,3
336,Akshaya Nagar,2650.0,3.0,2.0,125.0,3
337,Akshaya Nagar,1419.0,2.0,3.0,87.0,3
338,Akshaya Nagar,1300.0,2.0,1.0,54.0,2
339,Akshaya Nagar,1690.0,3.0,2.0,85.0,3
340,Akshaya Nagar,1113.0,2.0,1.0,52.0,2
341,Akshaya Nagar,1820.0,4.0,2.0,95.0,3
342,Akshaya Nagar,1100.0,2.0,2.0,48.0,2
343,Akshaya Nagar,1896.0,3.0,2.0,102.0,3
344,Akshaya Nagar,1300.0,2.0,2.0,66.0,2
345,Akshaya Nagar,1225.0,2.0,0.0,68.0,2
346,Akshaya Nagar,1179.0,2.0,1.0,51.0,2
347,Akshaya Nagar,1421.0,2.0,2.0,73.0,3
348,Akshaya Nagar,1893.0,4.0,2.0,95.0,3
349,Akshaya Nagar,900.0,2.0,1.0,45.0,2
350,Ambalipura,1105.0,2.0,1.0,75.0,2
351,Ambalipura,1800.0,3.0,3.0,110.0,3
352,Ambalipura,1150.0,2.0,2.0,80.0,2
353,Ambalipura,1250.0,2.0,2.0,66.25,2
354,Ambalipura,1332.0,2.0,1.0,79.0,2
355,Ambalipura,1730.0,3.0,1.0,120.0,3
356,Ambalipura,3500.0,3.0,2.0,198.0,3
357,Ambalipura,1230.0,2.0,2.0,66.25,2
358,Ambalipura,1351.0,2.0,1.0,77.0,2
359,Ambalipura,2550.0,4.0,2.0,149.0,4
360,Ambalipura,1817.0,3.0,3.0,102.0,3
361,Ambalipura,2750.0,4.0,2.0,142.0,4
362,Ambalipura,1303.0,2.0,2.0,80.0,2
363,Ambalipura,1607.0,2.0,2.0,112.0,3
364,Ambalipura,770.0,1.0,2.0,43.82,1
365,Ambalipura,1700.0,2.0,2.0,76.0,2
366,Ambalipura,1060.0,2.0,1.0,58.5,2
367,Ambalipura,1650.0,3.0,3.0,100.0,3
368,Ambalipura,1607.0,2.0,2.0,112.0,3
369,Ambalipura,1198.0,2.0,2.0,80.0,2
370,Ambedkar Nagar,1935.0,4.0,2.0,130.0,3
371,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2
372,Ambedkar Nagar,2225.0,4.0,2.0,169.0,3
373,Ambedkar Nagar,1862.0,3.0,2.0,120.0,3
374,Ambedkar Nagar,1850.0,4.0,3.0,139.0,3
375,Ambedkar Nagar,1936.0,4.0,2.0,126.0,3
376,Ambedkar Nagar,1862.0,3.0,2.0,119.0,3
377,Ambedkar Nagar,1424.0,2.0,2.0,90.0,2
378,Ambedkar Nagar,2150.0,4.0,2.0,125.0,3
379,Ambedkar Nagar,3530.0,4.0,2.0,290.0,4
380,Ambedkar Nagar,1856.0,3.0,1.0,120.0,3
381,Ambedkar Nagar,1852.0,3.0,2.0,130.0,3
382,Ambedkar Nagar,1850.0,4.0,2.0,120.0,3
383,Ambedkar Nagar,1367.0,2.0,2.0,86.0,2
384,Ambedkar Nagar,3565.0,4.0,3.0,255.0,4
385,Ambedkar Nagar,1409.0,2.0,2.0,95.0,2
386,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3
387,Ambedkar Nagar,1921.0,4.0,3.0,129.0,3
388,Ambedkar Nagar,1920.0,4.0,2.0,121.0,3
389,Ambedkar Nagar,1935.0,4.0,2.0,125.0,3
390,Ambedkar Nagar,1852.0,4.0,2.0,122.0,3
391,Ambedkar Nagar,1950.0,4.0,2.0,120.0,3
392,Ambedkar Nagar,1852.0,3.0,2.0,125.0,3
393,Ambedkar Nagar,1850.0,4.0,2.0,121.0,3
394,Ambedkar Nagar,1425.0,2.0,1.0,94.0,2
395,Ambedkar Nagar,2395.0,4.0,2.0,150.0,3
396,Amruthahalli,900.0,2.0,1.0,40.0,2
397,Amruthahalli,1200.0,2.0,2.0,55.0,2
398,Amruthahalli,1900.0,3.0,1.0,135.0,3
399,Amruthahalli,924.0,2.0,1.0,45.0,2
400,Amruthahalli,900.0,2.0,1.0,60.0,2
401,Amruthahalli,1100.0,2.0,1.0,45.0,2
402,Amruthahalli,1200.0,2.0,1.0,55.0,2
403,Amruthahalli,1350.0,2.0,3.0,63.0,3
404,Amruthahalli,1605.0,3.0,2.0,65.0,3
405,Amruthahalli,1700.0,3.0,2.0,77.0,3
406,Amruthahalli,1450.0,2.0,1.0,85.0,3
407,Amruthahalli,1200.0,2.0,2.0,55.0,2
408,Amruthahalli,1250.0,2.0,2.0,79.0,2
409,Amruthahalli,1190.0,2.0,2.0,50.0,2
410,Amruthahalli,1202.0,2.0,1.0,65.0,2
411,Amruthahalli,1340.0,2.0,1.0,75.0,2
412,Amruthahalli,2650.0,4.0,0.0,175.0,3
413,Amruthahalli,1450.0,2.0,1.0,90.0,3
414,Amruthahalli,1025.0,2.0,1.0,42.0,2
415,Amruthahalli,485.0,1.0,1.0,19.5,1
416,Anandapura,1167.0,2.0,1.0,43.76,2
417,Anandapura,1000.0,2.0,1.0,55.0,2
418,Anandapura,1141.0,2.0,1.0,42.79,2
419,Anandapura,1576.0,3.0,2.0,59.1,3
420,Anandapura,1200.0,2.0,1.0,67.0,2
421,Anandapura,1200.0,2.0,1.0,58.0,2
422,Anandapura,1151.0,2.0,1.0,43.1,2
423,Anandapura,1141.0,2.0,1.0,42.75,2
424,Anandapura,900.0,2.0,0.0,48.0,2
425,Anandapura,1749.0,4.0,0.0,90.0,4
426,Anandapura,1151.0,2.0,1.0,42.9,2
427,Anandapura,1576.0,3.0,2.0,58.0,3
428,Anandapura,1250.0,2.0,2.0,45.0,2
429,Anandapura,1151.0,2.0,1.0,43.16,2
430,Anandapura,1200.0,2.0,0.0,58.0,2
431,Anandapura,1200.0,2.0,0.0,66.0,3
432,Anandapura,1415.0,2.0,1.0,74.0,3
433,Anandapura,1200.0,2.0,1.0,50.0,2
434,Anandapura,1141.0,2.0,1.0,50.0,2
435,Anandapura,1576.0,3.0,2.0,58.7,3
436,Ananth Nagar,500.0,1.0,1.0,14.0,1
437,Ananth Nagar,1100.0,2.0,2.0,31.5,2
438,Ananth Nagar,982.0,2.0,2.0,24.55,2
439,Ananth Nagar,500.0,2.0,2.0,14.0,1
440,Ananth Nagar,900.0,2.0,2.0,22.5,2
